amp,freq,stime,stime_minimum,gene_id,prc2
100,1.7,"Any[109.2, 109.2, 109.1, 109.0, 109.0, 109.1, 109.1, 109.2, 109.2, 109.1, 109.0, 109.0, 109.1, 109.1, 109.2]",109.0,49,0.3
100,1.8,"Any[109.1, 109.1, 109.0, 109.0, 109.1, 109.1, 109.1, 109.1, 109.1, 109.0, 109.0, 109.1, 109.1, 109.1, 109.1]",109.0,49,0.3
100,1.9,"Any[109.1, 109.0, 109.1, 109.1, 109.1, 109.1, 109.2, 109.1, 109.0, 109.1, 109.1, 109.1, 109.1, 109.2, 109.1]",109.0,49,0.3
100,2.0,"Any[109.0, 109.1, 109.1, 109.1, 109.2, 109.2, 109.1, 109.0, 109.1, 109.1, 109.1, 109.2, 109.2, 109.1, 109.0]",109.0,49,0.3
300,0.0,"Any[105.6, 105.7, 106.0, 108.1, 108.1, 106.0, 105.7, 105.6, 105.7, 106.0, 108.1, 108.1, 106.0, 105.7, 105.6]",105.6,49,0.3
300,0.1,"Any[106.0, 108.7, 108.5, 106.2, 105.8, 105.6, 105.7, 106.0, 108.7, 108.5, 106.2, 105.8, 105.6, 105.7, 106.0]",105.6,49,0.3
300,0.2,"Any[108.0, 106.6, 105.8, 105.7, 105.7, 105.9, 107.8, 108.0, 106.6, 105.8, 105.7, 105.7, 105.9, 107.8, 108.0]",105.7,49,0.3
300,0.3,"Any[106.0, 105.7, 105.7, 106.0, 107.2, 107.6, 106.9, 106.0, 105.7, 105.7, 106.0, 107.2, 107.6, 106.9, 106.0]",105.7,49,0.3
300,0.4,"Any[105.7, 106.1, 106.9, 107.2, 106.9, 106.4, 105.8, 105.7, 106.1, 106.9, 107.2, 106.9, 106.4, 105.8, 105.7]",105.7,49,0.3
300,0.5,"Any[106.6, 106.9, 106.8, 106.5, 106.1, 105.8, 106.1, 106.6, 106.9, 106.8, 106.5, 106.1, 105.8, 106.1, 106.6]",105.8,49,0.3
300,0.6,"Any[106.7, 106.5, 106.3, 106.0, 106.1, 106.5, 106.7, 106.7, 106.5, 106.3, 106.0, 106.1, 106.5, 106.7, 106.7]",106.0,49,0.3
300,0.7,"Any[106.5, 106.4, 106.2, 106.4, 106.6, 106.6, 106.5, 106.5, 106.4, 106.2, 106.4, 106.6, 106.6, 106.5, 106.5]",106.2,49,0.3
300,0.8,"Any[106.4, 106.3, 106.4, 106.5, 106.5, 106.5, 106.5, 106.4, 106.3, 106.4, 106.5, 106.5, 106.5, 106.5, 106.4]",106.3,49,0.3
300,0.9,"Any[106.4, 106.4, 106.5, 106.6, 106.6, 106.5, 106.4, 106.4, 106.4, 106.5, 106.6, 106.6, 106.5, 106.4, 106.4]",106.4,49,0.3
300,1.0,"Any[106.5, 106.5, 106.6, 106.5, 106.5, 106.4, 106.4, 106.5, 106.5, 106.6, 106.5, 106.5, 106.4, 106.4, 106.5]",106.4,49,0.3
300,1.1,"Any[106.5, 106.5, 106.5, 106.5, 106.4, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.4, 106.5, 106.5, 106.5]",106.4,49,0.3
300,1.2,"Any[106.5, 106.5, 106.5, 106.4, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.4, 106.5, 106.5, 106.5, 106.5]",106.4,49,0.3
300,1.3,"Any[106.5, 106.5, 106.4, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.4, 106.5, 106.5, 106.5, 106.5, 106.5]",106.4,49,0.3
300,1.4,"Any[106.4, 106.4, 106.5, 106.5, 106.5, 106.5, 106.5, 106.4, 106.4, 106.5, 106.5, 106.5, 106.5, 106.5, 106.4]",106.4,49,0.3
300,1.5,"Any[106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.4, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.4, 106.5]",106.4,49,0.3
300,1.6,"Any[106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5]",106.5,49,0.3
300,1.7,"Any[106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5]",106.5,49,0.3
300,1.8,"Any[106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5]",106.5,49,0.3
300,1.9,"Any[106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5]",106.5,49,0.3
300,2.0,"Any[106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5, 106.5]",106.5,49,0.3
100,0.0,"Any[108.4, 108.8, 110.6, 176.4, 176.4, 110.6, 108.8, 108.4, 108.8, 110.6, 176.4, 176.4, 110.6, 108.8, 108.4]",108.4,49,0.35
100,0.1,"Any[117.9, 117.9, 113.7, 110.2, 108.8, 108.5, 109.0, 117.9, 117.9, 113.7, 110.2, 108.8, 108.5, 109.0, 117.9]",108.5,49,0.35
100,0.2,"Any[112.2, 110.3, 108.9, 108.7, 109.8, 115.0, 114.1, 112.2, 110.3, 108.9, 108.7, 109.8, 115.0, 114.1, 112.2]",108.7,49,0.35
100,0.3,"Any[109.4, 109.3, 111.3, 113.0, 112.6, 111.6, 110.5, 109.4, 109.3, 111.3, 113.0, 112.6, 111.6, 110.5, 109.4]",109.3,49,0.35
100,0.4,"Any[111.5, 112.0, 112.0, 111.7, 111.3, 110.9, 110.6, 111.5, 112.0, 112.0, 111.7, 111.3, 110.9, 110.6, 111.5]",110.6,49,0.35
100,0.5,"Any[112.0, 112.1, 112.0, 111.8, 111.5, 111.3, 111.6, 112.0, 112.1, 112.0, 111.8, 111.5, 111.3, 111.6, 112.0]",111.3,49,0.35
