freq,amp,stime
0.38,61,9.52
0.4,61,9.86
0.42,61,10.67
0.44,61,13.13
0.46,61,22.49
0.48,61,31.31
0.5,61,45.38
0.52,61,85.91
0.0,62,9.23
0.02,62,9.21
0.04,62,9.21
0.06,62,9.21
0.08,62,9.21
0.1,62,9.21
0.12,62,9.21
0.14,62,9.21
0.16,62,9.21
0.18,62,9.21
0.2,62,9.21
0.22,62,9.21
0.24,62,9.21
0.26,62,9.21
0.28,62,9.21
0.3,62,9.21
0.32,62,9.21
0.34,62,9.22
0.36,62,9.26
0.38,62,9.39
0.4,62,9.71
0.42,62,10.39
0.44,62,12.21
0.46,62,21.48
0.48,62,26.08
0.5,62,38.0
0.52,62,65.87
0.0,63,9.16
0.02,63,9.15
0.04,63,9.15
0.06,63,9.15
0.08,63,9.15
0.1,63,9.15
0.12,63,9.15
0.14,63,9.15
0.16,63,9.15
0.18,63,9.15
0.2,63,9.15
0.22,63,9.15
0.24,63,9.15
0.26,63,9.15
0.28,63,9.15
0.3,63,9.15
0.32,63,9.15
0.34,63,9.15
0.36,63,9.19
0.38,63,9.27
0.4,63,9.55
0.42,63,10.17
0.44,63,11.58
0.46,63,20.23
0.48,63,24.03
0.5,63,34.55
0.52,63,54.17
0.0,64,9.1
0.02,64,9.09
0.04,64,9.09
0.06,64,9.09
0.08,64,9.09
0.1,64,9.09
0.12,64,9.09
0.14,64,9.09
0.16,64,9.09
0.18,64,9.09
0.2,64,9.09
0.22,64,9.09
0.24,64,9.09
0.26,64,9.09
0.28,64,9.09
0.3,64,9.09
0.32,64,9.09
0.34,64,9.09
0.36,64,9.08
0.38,64,9.23
0.4,64,9.49
0.42,64,9.96
0.44,64,11.17
0.46,64,17.86
0.48,64,22.91
0.5,64,32.66
0.52,64,45.32
0.54,64,83.16
0.0,65,9.04
0.02,65,9.02
0.04,65,9.02
0.06,65,9.02
0.08,65,9.02
0.1,65,9.02
0.12,65,9.02
0.14,65,9.02
0.16,65,9.02
0.18,65,9.02
0.2,65,9.02
0.22,65,9.02
0.24,65,9.02
0.26,65,9.02
0.28,65,9.02
0.3,65,9.02
0.32,65,9.02
0.34,65,9.02
0.36,65,9.05
0.38,65,9.11
0.4,65,9.34
0.42,65,9.77
0.44,65,10.82
0.46,65,14.94
0.48,65,22.05
0.5,65,30.15
0.52,65,41.55
0.54,65,65.31
0.0,66,8.98
0.02,66,8.96
0.04,66,8.96
0.06,66,8.96
0.08,66,8.96
0.1,66,8.96
0.12,66,8.96
0.14,66,8.96
0.16,66,8.96
0.18,66,8.96
0.2,66,8.96
0.22,66,8.96
0.24,66,8.96
0.26,66,8.96
0.28,66,8.96
0.3,66,8.96
0.32,66,8.96
0.34,66,8.96
0.36,66,8.96
0.38,66,9.07
0.4,66,9.21
0.42,66,9.68
0.44,66,10.54
0.46,66,13.14
0.48,66,21.27
0.5,66,25.95
0.52,66,35.27
0.54,66,54.42
0.0,67,8.92
0.02,67,8.91
0.04,67,8.91
0.06,67,8.91
0.08,67,8.91
0.1,67,8.91
0.12,67,8.91
0.14,67,8.91
0.16,67,8.91
0.18,67,8.91
0.2,67,8.91
0.22,67,8.91
0.24,67,8.91
0.26,67,8.91
0.28,67,8.91
0.3,67,8.91
0.32,67,8.91
0.34,67,8.91
0.36,67,8.91
0.38,67,8.97
0.4,67,9.18
0.42,67,9.52
0.44,67,10.2
0.46,67,12.19
0.48,67,20.47
0.5,67,23.76
0.52,67,33.13
0.54,67,46.31
0.56,67,84.55
0.0,68,8.87
0.02,68,8.85
0.04,68,8.85
0.06,68,8.85
0.08,68,8.85
0.1,68,8.85
0.12,68,8.85
0.14,68,8.85
0.16,68,8.85
0.18,68,8.85
0.2,68,8.85
0.22,68,8.85
0.24,68,8.85
0.26,68,8.85
0.28,68,8.85
0.3,68,8.85
0.32,68,8.85
0.34,68,8.85
0.36,68,8.85
0.38,68,8.88
0.4,68,9.05
0.42,68,9.38
0.44,68,10.08
0.46,68,11.54
0.48,68,19.58
0.5,68,22.6
0.52,68,31.53
0.54,68,42.49
0.56,68,65.62
0.0,69,8.83
0.02,69,8.8
0.04,69,8.8
0.06,69,8.8
0.08,69,8.8
0.1,69,8.8
0.12,69,8.8
0.14,69,8.8
0.16,69,8.8
0.18,69,8.8
0.2,69,8.8
0.22,69,8.8
0.24,69,8.8
0.26,69,8.8
0.28,69,8.8
0.3,69,8.8
0.32,69,8.8
0.34,69,8.8
0.36,69,8.81
0.38,69,8.85
0.4,69,9.01
0.42,69,9.3
0.44,69,9.87
0.46,69,11.11
0.48,69,18.17
0.5,69,21.82
0.52,69,29.91
0.54,69,39.07
0.56,69,55.34
0.0,70,8.78
0.02,70,8.74
0.04,70,8.74
0.06,70,8.74
0.08,70,8.74
0.1,70,8.74
0.12,70,8.74
0.14,70,8.74
0.16,70,8.74
0.18,70,8.74
0.2,70,8.74
0.22,70,8.74
0.24,70,8.74
0.26,70,8.74
0.28,70,8.74
0.3,70,8.74
0.32,70,8.74
0.34,70,8.74
0.36,70,8.76
0.38,70,8.78
0.4,70,8.9
0.42,70,9.18
0.44,70,9.68
0.46,70,10.76
0.48,70,16.0
0.5,70,21.19
0.52,70,26.93
0.54,70,34.14
0.56,70,50.36
0.58,70,85.87
0.0,71,8.73
0.02,71,8.69
0.04,71,8.69
0.06,71,8.69
0.08,71,8.69
0.1,71,8.69
0.12,71,8.69
0.14,71,8.69
0.16,71,8.69
0.18,71,8.69
0.2,71,8.69
0.22,71,8.69
0.24,71,8.69
0.26,71,8.69
0.28,71,8.69
0.3,71,8.69
0.32,71,8.69
0.34,71,8.69
0.36,71,8.7
0.38,71,8.71
0.4,71,8.82
0.42,71,9.06
0.44,71,9.5
0.46,71,10.48
0.48,71,14.06
0.5,71,20.56
0.52,71,24.19
0.54,71,32.23
0.56,71,43.47
0.58,71,70.34
0.0,72,8.68
0.02,72,8.64
0.04,72,8.64
0.06,72,8.64
0.08,72,8.64
0.1,72,8.64
0.12,72,8.64
0.14,72,8.64
0.16,72,8.64
0.18,72,8.64
0.2,72,8.64
0.22,72,8.64
0.24,72,8.64
0.26,72,8.64
0.28,72,8.64
0.3,72,8.64
0.32,72,8.64
0.34,72,8.64
0.36,72,8.64
0.38,72,8.69
0.4,72,8.8
0.42,72,9.02
0.44,72,9.46
0.46,72,10.24
0.48,72,12.77
0.5,72,19.98
0.52,72,22.73
0.54,72,30.94
0.56,72,40.85
0.58,72,59.91
0.0,73,8.63
0.02,73,8.6
0.04,73,8.6
0.06,73,8.6
0.08,73,8.6
0.1,73,8.6
0.12,73,8.6
0.14,73,8.6
0.16,73,8.6
0.18,73,8.6
0.2,73,8.6
0.22,73,8.6
0.24,73,8.6
0.26,73,8.6
0.28,73,8.6
0.3,73,8.6
0.32,73,8.6
0.34,73,8.6
0.36,73,8.6
0.38,73,8.64
0.4,73,8.73
0.42,73,8.9
0.44,73,9.3
0.46,73,10.09
0.48,73,12.03
0.5,73,19.35
0.52,73,21.81
0.54,73,29.76
0.56,73,38.3
0.58,73,51.67
0.6,73,91.96
0.0,74,8.59
0.02,74,8.55
0.04,74,8.55
0.06,74,8.55
0.08,74,8.55
0.1,74,8.55
0.12,74,8.55
0.14,74,8.55
0.16,74,8.55
