freq,amp,stime,prc2,gene_id
0.95,250,1.67,0.05,49
1.0,250,1.67,0.05,49
0.0,300,1.65,0.05,49
0.05,300,1.68,0.05,49
0.1,300,1.68,0.05,49
0.15,300,1.68,0.05,49
0.2,300,1.68,0.05,49
0.25,300,1.68,0.05,49
0.3,300,1.68,0.05,49
0.35,300,1.68,0.05,49
0.4,300,1.68,0.05,49
0.45,300,1.68,0.05,49
0.5,300,1.68,0.05,49
0.55,300,1.68,0.05,49
0.6,300,1.68,0.05,49
0.65,300,1.68,0.05,49
0.7,300,1.68,0.05,49
0.75,300,1.68,0.05,49
0.8,300,1.68,0.05,49
0.85,300,1.68,0.05,49
0.9,300,1.68,0.05,49
0.95,300,1.68,0.05,49
1.0,300,1.68,0.05,49
0.0,0,3.9,0.1,49
0.05,0,3.9,0.1,49
0.1,0,3.9,0.1,49
0.15,0,3.9,0.1,49
0.2,0,3.9,0.1,49
0.25,0,3.9,0.1,49
0.3,0,3.9,0.1,49
0.35,0,3.9,0.1,49
0.4,0,3.9,0.1,49
0.45,0,3.9,0.1,49
0.5,0,3.9,0.1,49
0.55,0,3.9,0.1,49
0.6,0,3.9,0.1,49
0.65,0,3.9,0.1,49
0.7,0,3.9,0.1,49
0.75,0,3.9,0.1,49
0.8,0,3.9,0.1,49
0.85,0,3.9,0.1,49
0.9,0,3.9,0.1,49
0.95,0,3.9,0.1,49
1.0,0,3.9,0.1,49
0.0,50,2.75,0.1,49
0.05,50,2.74,0.1,49
0.1,50,2.74,0.1,49
0.15,50,2.74,0.1,49
0.2,50,2.74,0.1,49
0.25,50,2.74,0.1,49
0.3,50,2.74,0.1,49
0.35,50,2.74,0.1,49
0.4,50,2.74,0.1,49
0.45,50,2.74,0.1,49
0.5,50,2.74,0.1,49
0.55,50,2.74,0.1,49
0.6,50,2.74,0.1,49
0.65,50,2.74,0.1,49
0.7,50,2.74,0.1,49
0.75,50,2.74,0.1,49
0.8,50,2.74,0.1,49
0.85,50,2.74,0.1,49
0.9,50,2.74,0.1,49
0.95,50,2.74,0.1,49
1.0,50,2.74,0.1,49
0.0,100,2.63,0.1,49
0.05,100,2.63,0.1,49
0.1,100,2.63,0.1,49
0.15,100,2.63,0.1,49
0.2,100,2.63,0.1,49
0.25,100,2.63,0.1,49
0.3,100,2.63,0.1,49
0.35,100,2.63,0.1,49
0.4,100,2.63,0.1,49
0.45,100,2.63,0.1,49
0.5,100,2.63,0.1,49
0.55,100,2.63,0.1,49
0.6,100,2.63,0.1,49
0.65,100,2.63,0.1,49
0.7,100,2.63,0.1,49
0.75,100,2.63,0.1,49
0.8,100,2.63,0.1,49
0.85,100,2.63,0.1,49
0.9,100,2.63,0.1,49
0.95,100,2.63,0.1,49
1.0,100,2.63,0.1,49
0.0,150,2.64,0.1,49
0.05,150,2.61,0.1,49
0.1,150,2.61,0.1,49
0.15,150,2.61,0.1,49
0.2,150,2.61,0.1,49
0.25,150,2.61,0.1,49
0.3,150,2.61,0.1,49
0.35,150,2.61,0.1,49
0.4,150,2.61,0.1,49
0.45,150,2.61,0.1,49
0.5,150,2.61,0.1,49
0.55,150,2.61,0.1,49
0.6,150,2.61,0.1,49
0.65,150,2.61,0.1,49
0.7,150,2.61,0.1,49
0.75,150,2.61,0.1,49
0.8,150,2.61,0.1,49
0.85,150,2.61,0.1,49
0.9,150,2.61,0.1,49
0.95,150,2.61,0.1,49
1.0,150,2.61,0.1,49
0.0,200,2.58,0.1,49
0.05,200,2.58,0.1,49
0.1,200,2.58,0.1,49
0.15,200,2.58,0.1,49
0.2,200,2.58,0.1,49
0.25,200,2.58,0.1,49
0.3,200,2.58,0.1,49
0.35,200,2.58,0.1,49
0.4,200,2.58,0.1,49
0.45,200,2.58,0.1,49
0.5,200,2.58,0.1,49
0.55,200,2.58,0.1,49
0.6,200,2.58,0.1,49
0.65,200,2.58,0.1,49
0.7,200,2.58,0.1,49
0.75,200,2.58,0.1,49
0.8,200,2.58,0.1,49
0.85,200,2.58,0.1,49
0.9,200,2.58,0.1,49
0.95,200,2.58,0.1,49
1.0,200,2.58,0.1,49
0.0,250,2.57,0.1,49
0.05,250,2.59,0.1,49
0.1,250,2.59,0.1,49
0.15,250,2.59,0.1,49
0.2,250,2.59,0.1,49
0.25,250,2.59,0.1,49
0.3,250,2.59,0.1,49
0.35,250,2.59,0.1,49
0.4,250,2.59,0.1,49
0.45,250,2.59,0.1,49
0.5,250,2.59,0.1,49
0.55,250,2.59,0.1,49
0.6,250,2.59,0.1,49
0.65,250,2.59,0.1,49
0.7,250,2.59,0.1,49
0.75,250,2.59,0.1,49
0.8,250,2.59,0.1,49
0.85,250,2.59,0.1,49
0.9,250,2.59,0.1,49
0.95,250,2.59,0.1,49
1.0,250,2.59,0.1,49
0.0,300,2.57,0.1,49
0.05,300,2.59,0.1,49
0.1,300,2.59,0.1,49
0.15,300,2.59,0.1,49
0.2,300,2.59,0.1,49
0.25,300,2.59,0.1,49
0.3,300,2.59,0.1,49
0.35,300,2.59,0.1,49
0.4,300,2.59,0.1,49
0.45,300,2.59,0.1,49
0.5,300,2.59,0.1,49
0.55,300,2.59,0.1,49
0.6,300,2.59,0.1,49
0.65,300,2.59,0.1,49
0.7,300,2.59,0.1,49
0.75,300,2.59,0.1,49
0.8,300,2.59,0.1,49
0.85,300,2.59,0.1,49
0.9,300,2.59,0.1,49
0.95,300,2.59,0.1,49
1.0,300,2.59,0.1,49
0.0,0,7.78,0.15,49
0.05,0,7.78,0.15,49
0.1,0,7.78,0.15,49
0.15,0,7.78,0.15,49
0.2,0,7.78,0.15,49
0.25,0,7.78,0.15,49
0.3,0,7.78,0.15,49
0.35,0,7.78,0.15,49
0.4,0,7.78,0.15,49
0.45,0,7.78,0.15,49
0.5,0,7.78,0.15,49
0.55,0,7.78,0.15,49
0.6,0,7.78,0.15,49
0.65,0,7.78,0.15,49
0.7,0,7.78,0.15,49
0.75,0,7.78,0.15,49
0.8,0,7.78,0.15,49
0.85,0,7.78,0.15,49
0.9,0,7.78,0.15,49
0.95,0,7.78,0.15,49
1.0,0,7.78,0.15,49
0.0,50,3.77,0.15,49
0.05,50,3.75,0.15,49
0.1,50,3.75,0.15,49
0.15,50,3.75,0.15,49
0.2,50,3.75,0.15,49
0.25,50,3.75,0.15,49
0.3,50,3.75,0.15,49
0.35,50,3.75,0.15,49
0.4,50,3.75,0.15,49
0.45,50,3.75,0.15,49
0.5,50,3.75,0.15,49
0.55,50,3.75,0.15,49
0.6,50,3.75,0.15,49
0.65,50,3.75,0.15,49
0.7,50,3.75,0.15,49
0.75,50,3.75,0.15,49
